filebro, filesnort, iter, totalnoids, totalbro, totalsnort, avgsecnoids, avgsecbro, avgsecsnort, statisticbro, pvaluebro, statisticsnort, pvaluesnort, avgsecdiffbro, avgsecdiffsnort, avgsrccpubro, avgsrcmembro, avgtgtcpubro, avgtgtmembro, avgsrccpusnort, avgsrcmemsnort, avgtgtcpusnort, avgtgtmemsnort
runs/bro/100KB/src8-tgt1/ftp-par-ftp-iter00100.result.csv, runs/snort/100KB/src8-tgt1/ftp-par-ftp-iter00100.result.csv, 100, 800, 800, 800, 49.44, 45.55, 48.42, 14.58, 0.00000, 6.64, 0.00000, -3.89, -1.01, 12.49, 51192.12, 5.31, 55323.74, 0.02, 122310.99, 0.53, 187979.01
runs/bro/100KB/src8-tgt1/ftp-par-ftp-iter00200.result.csv, runs/snort/100KB/src8-tgt1/ftp-par-ftp-iter00200.result.csv, 200, 800, 800, 800, 98.72, 98.66, 98.13, 0.22, 0.82217, 5.05, 0.00000, -0.06, -0.59, 12.08, 51807.18, 5.82, 57153.55, 0.02, 129481.79, 0.56, 257267.41
