filebro, filesnort, iter, totalnoids, totalbro, totalsnort, avgsecnoids, avgsecbro, avgsecsnort, statisticbro, pvaluebro, statisticsnort, pvaluesnort, avgsecdiffbro, avgsecdiffsnort, avgsrccpubro, avgsrcmembro, avgtgtcpubro, avgtgtmembro, avgsrccpusnort, avgsrcmemsnort, avgtgtcpusnort, avgtgtmemsnort
runs/bro/100KB/src8-tgt1/http-par-max-iter00100.result.csv, runs/snort/100KB/src8-tgt1/http-par-max-iter00100.result.csv, 100, 800, 800, 800, 6.82, 6.66, 6.64, 8.94, 0.00000, 9.86, 0.00000, -0.16, -0.18, 15.53, 60575.54, 9.00, 80371.28, 1.08, 527625.88, 2.33, 553880.93
runs/bro/100KB/src8-tgt1/http-par-max-iter00200.result.csv, runs/snort/100KB/src8-tgt1/http-par-max-iter00200.result.csv, 200, 800, 800, 800, 13.62, 13.50, 13.48, 18.26, 0.00000, 22.08, 0.00000, -0.12, -0.14, 16.29, 61331.68, 8.81, 83296.19, 1.18, 535292.38, 2.39, 602715.54
