filebro, filesnort, iter, totalnoids, totalbro, totalsnort, avgsecnoids, avgsecbro, avgsecsnort, statisticbro, pvaluebro, statisticsnort, pvaluesnort, avgsecdiffbro, avgsecdiffsnort, avgsrccpubro, avgsrcmembro, avgtgtcpubro, avgtgtmembro, avgsrccpusnort, avgsrcmemsnort, avgtgtcpusnort, avgtgtmemsnort
runs/bro/100KB/src8-tgt1/http-par-min-iter00100.result.csv, runs/snort/100KB/src8-tgt1/http-par-min-iter00100.result.csv, 100, 800, 800, 800, 6.82, 6.66, 6.64, 9.10, 0.00000, 9.69, 0.00000, -0.17, -0.18, 14.31, 55899.59, 7.96, 71349.15, 0.18, 112080.63, 0.16, 133706.14
runs/bro/100KB/src8-tgt1/http-par-min-iter00200.result.csv, runs/snort/100KB/src8-tgt1/http-par-min-iter00200.result.csv, 200, 800, 800, 800, 13.62, 13.51, 13.49, 17.14, 0.00000, 20.49, 0.00000, -0.11, -0.13, 16.03, 56229.01, 7.97, 77739.88, 0.20, 115502.61, 0.17, 169919.06
