filebro, filesnort, iter, totalnoids, totalbro, totalsnort, avgsecnoids, avgsecbro, avgsecsnort, statisticbro, pvaluebro, statisticsnort, pvaluesnort, avgsecdiffbro, avgsecdiffsnort, avgsrccpubro, avgsrcmembro, avgtgtcpubro, avgtgtmembro, avgsrccpusnort, avgsrcmemsnort, avgtgtcpusnort, avgtgtmemsnort
runs/bro/100KB/src2-tgt1/ssl-par-max-iter00100.result.csv, runs/snort/100KB/src2-tgt1/ssl-par-max-iter00100.result.csv, 100, 200, 200, 200, 2.97, 2.96, 2.95, 0.33, 0.73937, 1.14, 0.25698, -0.00, -0.01, 11.27, 65662.15, 11.39, 61908.27, 0.66, 517479.45, 4.92, 526968.77
runs/bro/100KB/src2-tgt1/ssl-par-max-iter00200.result.csv, runs/snort/100KB/src2-tgt1/ssl-par-max-iter00200.result.csv, 200, 200, 200, 200, 5.81, 5.82, 5.79, -0.60, 0.54602, 1.26, 0.20873, 0.01, -0.02, 11.24, 67779.82, 11.24, 62857.80, 0.66, 523166.12, 5.18, 535006.21
runs/bro/100KB/src2-tgt1/ssl-par-max-iter00500.result.csv, runs/snort/100KB/src2-tgt1/ssl-par-max-iter00500.result.csv, 500, 200, 200, 200, 14.27, 14.37, 14.29, -2.54, 0.01135, -0.52, 0.60080, 0.10, 0.02, 12.08, 69964.28, 12.73, 65251.14, 0.76, 524003.04, 5.94, 577267.92
