filebro, filesnort, iter, totalnoids, totalbro, totalsnort, avgsecnoids, avgsecbro, avgsecsnort, statisticbro, pvaluebro, statisticsnort, pvaluesnort, avgsecdiffbro, avgsecdiffsnort, avgsrccpubro, avgsrcmembro, avgtgtcpubro, avgtgtmembro, avgsrccpusnort, avgsrcmemsnort, avgtgtcpusnort, avgtgtmemsnort
runs/bro/100KB/src2-tgt1/mysql-par-min-iter00100.result.csv, runs/snort/100KB/src2-tgt1/mysql-par-min-iter00100.result.csv, 100, 200, 200, 200, 10.03, 10.36, 10.17, -6.40, 0.00000, -2.80, 0.00540, 0.34, 0.15, 5.22, 52834.13, 7.83, 53827.35, 0.04, 98295.63, 0.11, 100032.40
runs/bro/100KB/src2-tgt1/mysql-par-min-iter00200.result.csv, runs/snort/100KB/src2-tgt1/mysql-par-min-iter00200.result.csv, 200, 200, 200, 200, 19.79, 20.89, 20.60, -12.03, 0.00000, -8.32, 0.00000, 1.10, 0.81, 5.19, 54682.31, 7.46, 55324.58, 0.04, 102485.12, 0.12, 123972.53
runs/bro/100KB/src2-tgt1/mysql-par-min-iter00500.result.csv, runs/snort/100KB/src2-tgt1/mysql-par-min-iter00500.result.csv, 500, 200, 200, 200, 49.61, 52.52, 50.84, -25.32, 0.00000, -8.24, 0.00000, 2.91, 1.23, 5.27, 54445.57, 7.90, 53720.69, 0.04, 113853.63, 0.13, 151725.26
