filebro, filesnort, iter, totalnoids, totalbro, totalsnort, avgsecnoids, avgsecbro, avgsecsnort, statisticbro, pvaluebro, statisticsnort, pvaluesnort, avgsecdiffbro, avgsecdiffsnort, avgsrccpubro, avgsrcmembro, avgtgtcpubro, avgtgtmembro, avgsrccpusnort, avgsrcmemsnort, avgtgtcpusnort, avgtgtmemsnort
runs/bro/100KB/src2-tgt1/ssl-par-min-iter00100.result.csv, runs/snort/100KB/src2-tgt1/ssl-par-min-iter00100.result.csv, 100, 200, 200, 200, 2.97, 2.97, 2.97, -0.41, 0.68344, 0.09, 0.93078, 0.00, -0.00, 10.52, 59292.19, 10.15, 55681.13, 0.17, 101581.69, 0.36, 107189.95
runs/bro/100KB/src2-tgt1/ssl-par-min-iter00200.result.csv, runs/snort/100KB/src2-tgt1/ssl-par-min-iter00200.result.csv, 200, 200, 200, 200, 5.81, 5.80, 5.79, 0.39, 0.69532, 1.32, 0.18696, -0.01, -0.02, 10.57, 62172.26, 11.06, 58048.34, 0.16, 104475.41, 0.39, 112075.78
runs/bro/100KB/src2-tgt1/ssl-par-min-iter00500.result.csv, runs/snort/100KB/src2-tgt1/ssl-par-min-iter00500.result.csv, 500, 200, 200, 200, 14.27, 14.35, 14.33, -2.16, 0.03141, -1.56, 0.11878, 0.08, 0.06, 11.38, 64690.37, 11.56, 59522.87, 0.19, 114762.38, 0.44, 150392.05
