filebro, filesnort, iter, totalnoids, totalbro, totalsnort, avgsecnoids, avgsecbro, avgsecsnort, statisticbro, pvaluebro, statisticsnort, pvaluesnort, avgsecdiffbro, avgsecdiffsnort, avgsrccpubro, avgsrcmembro, avgtgtcpubro, avgtgtmembro, avgsrccpusnort, avgsrcmemsnort, avgtgtcpusnort, avgtgtmemsnort
runs/bro/100KB/src2-tgt1/ssl-par-ssl-iter00100.result.csv, runs/snort/100KB/src2-tgt1/ssl-par-ssl-iter00100.result.csv, 100, 200, 200, 200, 2.97, 2.96, 2.96, 0.48, 0.63140, 0.65, 0.51329, -0.00, -0.01, 10.51, 60368.29, 11.21, 55973.14, 0.19, 100983.96, 4.65, 101734.60
runs/bro/100KB/src2-tgt1/ssl-par-ssl-iter00200.result.csv, runs/snort/100KB/src2-tgt1/ssl-par-ssl-iter00200.result.csv, 200, 200, 200, 200, 5.81, 5.75, 5.79, 3.90, 0.00012, 1.39, 0.16393, -0.07, -0.02, 10.77, 63074.09, 11.65, 58355.42, 0.19, 100185.86, 4.87, 131392.95
runs/bro/100KB/src2-tgt1/ssl-par-ssl-iter00500.result.csv, runs/snort/100KB/src2-tgt1/ssl-par-ssl-iter00500.result.csv, 500, 200, 200, 200, 14.27, 14.32, 14.32, -1.16, 0.24810, -1.23, 0.21774, 0.04, 0.04, 11.33, 63582.65, 12.32, 59705.52, 0.19, 129001.39, 5.64, 146803.60
