filebro, filesnort, iter, totalnoids, totalbro, totalsnort, avgsecnoids, avgsecbro, avgsecsnort, statisticbro, pvaluebro, statisticsnort, pvaluesnort, avgsecdiffbro, avgsecdiffsnort, avgsrccpubro, avgsrcmembro, avgtgtcpubro, avgtgtmembro, avgsrccpusnort, avgsrcmemsnort, avgtgtcpusnort, avgtgtmemsnort
runs/bro/100KB/src2-tgt1/http-par-http-iter00100.result.csv, runs/snort/100KB/src2-tgt1/http-par-http-iter00100.result.csv, 100, 200, 200, 200, 1.74, 1.73, 1.73, 4.80, 0.00000, 3.89, 0.00013, -0.02, -0.01, 11.27, 59226.10, 12.37, 60540.28, 0.52, 98929.98, 5.92, 100824.50
runs/bro/100KB/src2-tgt1/http-par-http-iter00200.result.csv, runs/snort/100KB/src2-tgt1/http-par-http-iter00200.result.csv, 200, 200, 200, 200, 3.45, 3.44, 3.44, 7.72, 0.00000, 7.51, 0.00000, -0.01, -0.01, 11.11, 59992.48, 9.86, 64056.40, 0.54, 102697.85, 4.47, 119507.60
runs/bro/100KB/src2-tgt1/http-par-http-iter00500.result.csv, runs/snort/100KB/src2-tgt1/http-par-http-iter00500.result.csv, 500, 200, 200, 200, 8.59, 8.58, 8.58, 7.90, 0.00000, 5.04, 0.00000, -0.01, -0.01, 12.02, 63435.71, 12.90, 70121.91, 0.64, 122142.88, 6.84, 142486.16
