filebro, filesnort, iter, totalnoids, totalbro, totalsnort, avgsecnoids, avgsecbro, avgsecsnort, statisticbro, pvaluebro, statisticsnort, pvaluesnort, avgsecdiffbro, avgsecdiffsnort, avgsrccpubro, avgsrcmembro, avgtgtcpubro, avgtgtmembro, avgsrccpusnort, avgsrcmemsnort, avgtgtcpusnort, avgtgtmemsnort
runs/bro/100KB/src2-tgt1/mysql-par-max-iter00100.result.csv, runs/snort/100KB/src2-tgt1/mysql-par-max-iter00100.result.csv, 100, 200, 200, 200, 10.03, 10.45, 10.10, -7.42, 0.00000, -1.46, 0.14500, 0.43, 0.08, 5.28, 59228.59, 8.05, 59275.83, 0.12, 520066.63, 1.51, 530462.47
runs/bro/100KB/src2-tgt1/mysql-par-max-iter00200.result.csv, runs/snort/100KB/src2-tgt1/mysql-par-max-iter00200.result.csv, 200, 200, 200, 200, 19.79, 20.72, 19.93, -10.79, 0.00000, -1.70, 0.08963, 0.93, 0.14, 5.31, 61901.48, 7.74, 60667.85, 0.11, 528512.07, 1.58, 538926.85
runs/bro/100KB/src2-tgt1/mysql-par-max-iter00500.result.csv, runs/snort/100KB/src2-tgt1/mysql-par-max-iter00500.result.csv, 500, 200, 200, 200, 49.61, 52.14, 49.15, -21.94, 0.00000, 4.80, 0.00000, 2.53, -0.46, 5.34, 61181.80, 8.20, 60405.45, 0.12, 535367.69, 1.64, 574260.00
