filebro, filesnort, iter, totalnoids, totalbro, totalsnort, avgsecnoids, avgsecbro, avgsecsnort, statisticbro, pvaluebro, statisticsnort, pvaluesnort, avgsecdiffbro, avgsecdiffsnort, avgsrccpubro, avgsrcmembro, avgtgtcpubro, avgtgtmembro, avgsrccpusnort, avgsrcmemsnort, avgtgtcpusnort, avgtgtmemsnort
runs/bro/100KB/src2-tgt1/http-par-max-iter00100.result.csv, runs/snort/100KB/src2-tgt1/http-par-max-iter00100.result.csv, 100, 200, 200, 200, 1.74, 1.72, 1.72, 5.26, 0.00000, 4.83, 0.00000, -0.02, -0.02, 11.84, 63058.09, 12.83, 65573.78, 3.74, 518358.99, 6.27, 526161.46
runs/bro/100KB/src2-tgt1/http-par-max-iter00200.result.csv, runs/snort/100KB/src2-tgt1/http-par-max-iter00200.result.csv, 200, 200, 200, 200, 3.45, 3.44, 3.44, 9.34, 0.00000, 8.11, 0.00000, -0.01, -0.01, 11.64, 66809.32, 10.46, 69103.90, 3.54, 520483.67, 4.68, 535536.90
runs/bro/100KB/src2-tgt1/http-par-max-iter00500.result.csv, runs/snort/100KB/src2-tgt1/http-par-max-iter00500.result.csv, 500, 200, 200, 200, 8.59, 8.58, 8.58, 5.57, 0.00000, 4.07, 0.00006, -0.01, -0.01, 13.22, 67967.73, 13.62, 75169.73, 3.96, 523893.99, 6.96, 559077.66
