filebro, filesnort, iter, totalnoids, totalbro, totalsnort, avgsecnoids, avgsecbro, avgsecsnort, statisticbro, pvaluebro, statisticsnort, pvaluesnort, avgsecdiffbro, avgsecdiffsnort, avgsrccpubro, avgsrcmembro, avgtgtcpubro, avgtgtmembro, avgsrccpusnort, avgsrcmemsnort, avgtgtcpusnort, avgtgtmemsnort
runs/bro/100KB/src2-tgt1/icmp-par-icmp-iter00100.result.csv, runs/snort/100KB/src2-tgt1/icmp-par-icmp-iter00100.result.csv, 100, 200, 200, 200, 1.00, 1.00, 1.00, 1.81, 0.07108, 1.14, 0.25409, -0.00, -0.00, 9.97, 48729.20, 11.71, 47855.76, 46.85, 85826.48, 41.89, 84982.96
runs/bro/100KB/src2-tgt1/icmp-par-icmp-iter00200.result.csv, runs/snort/100KB/src2-tgt1/icmp-par-icmp-iter00200.result.csv, 200, 200, 200, 200, 2.00, 2.00, 2.00, 3.56, 0.00046, 3.56, 0.00046, -0.00, -0.00, 12.50, 49744.98, 11.98, 47658.32, 75.30, 88243.24, 45.92, 97905.50
runs/bro/100KB/src2-tgt1/icmp-par-icmp-iter00500.result.csv, runs/snort/100KB/src2-tgt1/icmp-par-icmp-iter00500.result.csv, 500, 200, 200, 200, 5.00, 5.00, 5.00, 1.74, 0.08326, -1.23, 0.22080, -0.00, 0.00, 12.68, 49485.16, 11.79, 49582.32, 71.90, 86452.55, 44.56, 85000.20
