filebro, filesnort, iter, totalnoids, totalbro, totalsnort, avgsecnoids, avgsecbro, avgsecsnort, statisticbro, pvaluebro, statisticsnort, pvaluesnort, avgsecdiffbro, avgsecdiffsnort, avgsrccpubro, avgsrcmembro, avgtgtcpubro, avgtgtmembro, avgsrccpusnort, avgsrcmemsnort, avgtgtcpusnort, avgtgtmemsnort
runs/bro/100KB/src2-tgt1/mysql-par-mysql-iter00100.result.csv, runs/snort/100KB/src2-tgt1/mysql-par-mysql-iter00100.result.csv, 100, 200, 200, 200, 10.03, 10.50, 10.19, -8.59, 0.00000, -3.07, 0.00231, 0.48, 0.16, 5.22, 54636.14, 7.71, 52680.54, 0.05, 90065.02, 1.47, 103504.50
runs/bro/100KB/src2-tgt1/mysql-par-mysql-iter00200.result.csv, runs/snort/100KB/src2-tgt1/mysql-par-mysql-iter00200.result.csv, 200, 200, 200, 200, 19.79, 20.93, 19.84, -12.58, 0.00000, -0.68, 0.49464, 1.14, 0.05, 5.15, 54811.53, 7.90, 53803.38, 0.05, 117782.33, 1.53, 114532.83
runs/bro/100KB/src2-tgt1/mysql-par-mysql-iter00500.result.csv, runs/snort/100KB/src2-tgt1/mysql-par-mysql-iter00500.result.csv, 500, 200, 200, 200, 49.61, 52.16, 50.53, -21.78, 0.00000, -5.77, 0.00000, 2.55, 0.92, 5.29, 55515.79, 8.11, 56126.60, 0.05, 119753.12, 1.60, 159445.74
